,Image_fname,number_non_triangular_junction,total_number_of junction,file name
0,3-15-700x-1-01.tif,2,424,non_triangular_junction_3-15-700x-1-01.csv
1,3-15-700x-1-02.tif,6,429,non_triangular_junction_3-15-700x-1-02.csv
2,3-15-700x-1-03.tif,6,379,non_triangular_junction_3-15-700x-1-03.csv
3,3-15-700x-1-04.tif,2,358,non_triangular_junction_3-15-700x-1-04.csv
4,3-15-700x-1-05.tif,0,360,non_triangular_junction_3-15-700x-1-05.csv
5,5-20-700x-2-01.tif,14,585,non_triangular_junction_5-20-700x-2-01.csv
6,5-20-700x-2-02.tif,4,612,non_triangular_junction_5-20-700x-2-02.csv
7,5-20-700x-2-03.tif,10,598,non_triangular_junction_5-20-700x-2-03.csv
8,5-20-700x-2-04.tif,12,521,non_triangular_junction_5-20-700x-2-04.csv
9,5-20-700x-2-06.tif,8,487,non_triangular_junction_5-20-700x-2-06.csv
0,3-07-400x-1-01.tif,30,798,non_triangular_junction_3-07-400x-1-01.csv
1,3-07-400x-1-02.tif,12,803,non_triangular_junction_3-07-400x-1-02.csv
2,3-07-400x-1-03.tif,18,779,non_triangular_junction_3-07-400x-1-03.csv
3,3-07-400x-1-04.tif,27,804,non_triangular_junction_3-07-400x-1-04.csv
4,3-07-400x-2-01.tif,16,788,non_triangular_junction_3-07-400x-2-01.csv
5,3-07-400x-2-02.tif,18,762,non_triangular_junction_3-07-400x-2-02.csv
6,3-07-400x-2-03.tif,6,764,non_triangular_junction_3-07-400x-2-03.csv
7,3-07-400x-2-04.tif,23,849,non_triangular_junction_3-07-400x-2-04.csv
8,5-22-400x-1-01.tif,4,523,non_triangular_junction_5-22-400x-1-01.csv
9,5-22-400x-1-03.tif,6,597,non_triangular_junction_5-22-400x-1-03.csv
10,5-22-400x-1-05.tif,4,507,non_triangular_junction_5-22-400x-1-05.csv
11,6-21-400x-1-01.tif,31,681,non_triangular_junction_6-21-400x-1-01.csv
12,6-21-400x-1-02.tif,22,597,non_triangular_junction_6-21-400x-1-02.csv
13,7-15-400x-1-01.tif,2,290,non_triangular_junction_7-15-400x-1-01.csv
14,7-15-400x-1-02.tif,3,323,non_triangular_junction_7-15-400x-1-02.csv
15,7-15-400x-1-03.tif,0,292,non_triangular_junction_7-15-400x-1-03.csv
16,7-15-400x-1-04.tif,4,339,non_triangular_junction_7-15-400x-1-04.csv
17,7-15-400x-1-05.tif,8,374,non_triangular_junction_7-15-400x-1-05.csv
0,7-01-700x-t-01.tif,201,1167,non_triangular_junction_7-01-700x-t-01.csv
1,7-01-700x-t-02.tif,324,1446,non_triangular_junction_7-01-700x-t-02.csv
2,7-01-700x-t-03.tif,467,1955,non_triangular_junction_7-01-700x-t-03.csv
3,7-01-700x-t-04.tif,401,1724,non_triangular_junction_7-01-700x-t-04.csv
4,7-01-700x-t-05.tif,337,1575,non_triangular_junction_7-01-700x-t-05.csv
5,7-01-700x-t2-01.tif,199,1333,non_triangular_junction_7-01-700x-t2-01.csv
6,7-01-700x-t2-02.tif,463,2078,non_triangular_junction_7-01-700x-t2-02.csv
7,7-01-700x-t2-03.tif,344,1770,non_triangular_junction_7-01-700x-t2-03.csv
8,7-01-700x-t2-04.tif,398,1956,non_triangular_junction_7-01-700x-t2-04.csv
9,7-01-700x-t2-05.tif,392,1979,non_triangular_junction_7-01-700x-t2-05.csv
10,7-15-400x-2-01.tif,216,1357,non_triangular_junction_7-15-400x-2-01.csv
11,7-15-400x-2-02.tif,181,1182,non_triangular_junction_7-15-400x-2-02.csv
12,7-15-400x-2-03.tif,199,1222,non_triangular_junction_7-15-400x-2-03.csv
13,7-15-400x-2-04.tif,221,1256,non_triangular_junction_7-15-400x-2-04.csv
14,7-15-400x-2-05.tif,177,1204,non_triangular_junction_7-15-400x-2-05.csv
15,7-23-400x-2-01.tif,571,2210,non_triangular_junction_7-23-400x-2-01.csv
16,7-23-400x-2-02.tif,654,2518,non_triangular_junction_7-23-400x-2-02.csv
17,7-23-400x-2-03.tif,629,2726,non_triangular_junction_7-23-400x-2-03.csv
18,7-23-400x-2-04.tif,624,2576,non_triangular_junction_7-23-400x-2-04.csv
19,7-23-400x-2-05.tif,670,2357,non_triangular_junction_7-23-400x-2-05.csv
20,7-24-400x-1-01.tif,17,358,non_triangular_junction_7-24-400x-1-01.csv
21,7-24-400x-1-02.tif,4,205,non_triangular_junction_7-24-400x-1-02.csv
22,7-24-400x-1-05.tif,37,351,non_triangular_junction_7-24-400x-1-05.csv
0,4-01-700x-2-01.tif,6,308,non_triangular_junction_4-01-700x-2-01.csv
1,4-01-700x-2-02.tif,4,320,non_triangular_junction_4-01-700x-2-02.csv
2,4-01-700x-2-03.tif,6,335,non_triangular_junction_4-01-700x-2-03.csv
3,4-01-700x-2-04.tif,6,349,non_triangular_junction_4-01-700x-2-04.csv
4,4-01-700x-2-05.tif,12,345,non_triangular_junction_4-01-700x-2-05.csv
5,4-01-700x-2-06.tif,13,332,non_triangular_junction_4-01-700x-2-06.csv
6,4-02-700x-1-01.tif,6,303,non_triangular_junction_4-02-700x-1-01.csv
7,4-02-700x-1-02.tif,18,350,non_triangular_junction_4-02-700x-1-02.csv
8,4-02-700x-1-03.tif,10,339,non_triangular_junction_4-02-700x-1-03.csv
9,4-02-700x-1-04.tif,12,278,non_triangular_junction_4-02-700x-1-04.csv
10,4-02-700x-1-05.tif,4,353,non_triangular_junction_4-02-700x-1-05.csv
11,4-02-700x-2-01.tif,8,242,non_triangular_junction_4-02-700x-2-01.csv
12,4-02-700x-2-02.tif,2,233,non_triangular_junction_4-02-700x-2-02.csv
13,4-02-700x-2-03.tif,8,270,non_triangular_junction_4-02-700x-2-03.csv
14,4-02-700x-2-04.tif,0,268,non_triangular_junction_4-02-700x-2-04.csv
15,4-02-700x-2-05.tif,12,271,non_triangular_junction_4-02-700x-2-05.csv
16,7-24-400x-1-03.tif,2,183,non_triangular_junction_7-24-400x-1-03.csv
17,7-24-400x-1-04.tif,2,176,non_triangular_junction_7-24-400x-1-04.csv
0,4-15-400x-2-01.tif,42,852,non_triangular_junction_4-15-400x-2-01.csv
1,4-17-400x-2-01.tif,41,465,non_triangular_junction_4-17-400x-2-01.csv
2,4-17-400x-2-02.tif,52,527,non_triangular_junction_4-17-400x-2-02.csv
3,4-17-400x-2-03.tif,17,420,non_triangular_junction_4-17-400x-2-03.csv
4,6-21-400x-2-01.tif,414,1788,non_triangular_junction_6-21-400x-2-01.csv
5,6-21-400x-2-04.tif,761,2786,non_triangular_junction_6-21-400x-2-04.csv
6,8-06-700x-2-01.tif,321,1526,non_triangular_junction_8-06-700x-2-01.csv
7,8-06-700x-2-02.tif,140,1182,non_triangular_junction_8-06-700x-2-02.csv
8,8-06-700x-2-03.tif,223,1287,non_triangular_junction_8-06-700x-2-03.csv
9,8-06-700x-2-04.tif,214,1369,non_triangular_junction_8-06-700x-2-04.csv
0,4-17-400x-2-04.tif,6,74,non_triangular_junction_4-17-400x-2-04.csv
0,3-15-700x-1-01.tif,305,1522,non_triangular_junction_3-15-700x-1-01.csv
1,3-15-700x-1-02.tif,150,1197,non_triangular_junction_3-15-700x-1-02.csv
2,3-15-700x-1-03.tif,186,1177,non_triangular_junction_3-15-700x-1-03.csv
3,3-15-700x-1-04.tif,239,1317,non_triangular_junction_3-15-700x-1-04.csv
4,3-15-700x-1-05.tif,184,1183,non_triangular_junction_3-15-700x-1-05.csv
5,5-20-700x-2-01.tif,427,1988,non_triangular_junction_5-20-700x-2-01.csv
6,5-20-700x-2-02.tif,534,2356,non_triangular_junction_5-20-700x-2-02.csv
7,5-20-700x-2-03.tif,786,2845,non_triangular_junction_5-20-700x-2-03.csv
8,5-20-700x-2-04.tif,880,3257,non_triangular_junction_5-20-700x-2-04.csv
9,5-20-700x-2-06.tif,1117,3685,non_triangular_junction_5-20-700x-2-06.csv
